site_code,ws_area_ha,lat,long
023432415,1932140,31.62138889,-85.06
02397530,1129758,34.20176124,-85.447458
02419890,1203314,32.43985898,-86.1955222
02423130,5102.3,33.62232504,-86.599431
02423160,13157.199999999999,33.60371416,-86.5491517
02423380,36260,33.4817724,-86.7127653
02423397,4403,33.53454886,-86.5624847
02423496,58534,33.3692767,-86.7841551
0242354650,3703.7000000000003,33.3449441,-86.7594183
02423571,2450.1400000000003,33.52093809,-86.7169325
02423586,7018.9000000000005,33.4487185,-86.8136007
02455980,7096.5999999999995,33.71121273,-86.6961013
02457595,13442.1,33.5970492,-86.8680483
02458148,1061.8999999999999,33.5770483,-86.7188778
02458450,8676.5,33.5176059,-86.8791584
02458502,9505.300000000001,33.5239948,-86.8911032
02461130,1813,33.5057722,-86.8364556
02461192,3502.716,33.4926111,-86.8721722
02461405,7770,33.4256647,-86.9527705
15008000,27713,56.025815,-130.0669823
15015595,192955,56.2402062,-130.8819864
15024800,5084170,56.70772188,-132.1319653
15041200,1683500,58.53829828,-133.7017432
15129120,2849000,59.1928056,-138.3339167
15209700,91168,61.43372656,-142.9426256
15236900,2434.6,60.36995858,-148.8987624
15298040,287490,60.2036591,-154.7044349
15304010,85470,61.8893006,-158.156842
09380000,28956200,36.8643333,-111.5878722
07047932,47397,35.4736935,-90.7903915
07047942,138565,35.1447222,-90.8780556
07048495,3056.2000000000003,36.0432583,-94.1360222
07048550,31857,36.05388889,-94.0830556
07048600,103600,36.07305556,-94.0811111
07049000,68117,36.2,-93.855
07055814,23284.100000000002,35.97896536,-93.0435069
07075250,12328.4,35.54705,-92.7076667
07075270,19347.3,35.5697222,-92.6219444
07077380,181559,35.8575,-90.9330556
07077500,269360,35.2697222,-91.2363889
07194880,8987.300000000001,36.2814662,-94.2279838
07194933,9065,36.24377778,-94.2391389
07257500,62419,35.46638889,-93.0411111
07263296,18907,34.87888889,-92.6855556
072632966,23154.600000000002,34.87527778,-92.6538889
07264000,53613,34.73666667,-91.9158333
07264200,39109,34.77898018,-91.7662462
07264500,148666,34.45426349,-91.61624
07364130,25692.8,33.963125,-91.6924472
07364133,98420,33.86638889,-91.6561111
09429490,48821500,32.8849361,-114.468111
10260500,34706,34.34305858,-117.2264316
10260950,18207.7,34.33889196,-117.2578213
10261500,132867,34.57304916,-117.3206018
10265150,17689.7,37.66882166,-118.8176312
10343500,2719.5,39.43157246,-120.2379793
11044000,152292,33.4739175,-117.1422536
11046062,414.40000000000003,33.25055556,-117.4313889
11046072,2380.21,33.26444444,-117.4422222
11046102,6993,33.29055556,-117.465
11046252,10981.6,33.38138889,-117.578611
11046372,36001,33.38666667,-117.5938889
11074000,584822,33.88334875,-117.6453296
11092450,40922,34.16167247,-118.466749
11125600,626.78,34.58221109,-119.9826419
11125605,626.78,34.58388889,-119.985
11126000,109298,34.5891552,-119.9887532
11126400,111370,34.58915474,-120.0301435
11128500,149961,34.58498706,-120.1445926
11133000,204351,34.63609474,-120.424606
11173200,19968.899999999998,37.46160337,-121.769397
11176900,104377,37.62659915,-121.8830126
11203580,5205.9000000000005,36.04828125,-118.6542556
11204100,24812.2,36.024116480000004,-118.8134258
11251000,434084,36.98439397,-119.7243124
11254000,1020460,36.8105046,-120.3782256
11261500,1972285,37.3099386,-120.9310369
11273400,2058791,37.3472151,-120.9761777
11274500,34706,37.31549247,-121.1252081
11274550,2510746,37.43218889,-121.0133444
11274790,77959,37.9165884,-119.6598938
11285500,328153,37.8783333,-120.2947222
11290000,487956,37.627153,-120.9843777
11303000,278425,37.72965078,-121.1104934
11425500,5504009,38.77434584,-121.5982928
11453590,10463.6,38.6469722,-122.365825
11458370,108780,38.1110306,-122.2746929
11458433,3703.7000000000003,38.4188004,-122.5627606
11461500,23879.8,39.24655605,-123.1302806
11462500,93758,39.02656314,-123.1305588
11463682,177156,38.65824247,-122.8294376
11463980,204869,38.6329653,-122.8555494
11465240,45325,38.65324355,-122.9272191
11466800,65009,38.49407838,-122.8533258
11467000,346542,38.50852336,-122.9277737
06711565,878269,39.66498738,-105.004149
07086000,110593,39.04277116,-106.2658553
07096000,807303,38.43388674,-105.2572128
07097000,1042216,38.38833418,-105.0160961
07099400,1209530,38.2716694,-104.718033
07099969,1237502,38.25361396,-104.6060854
07099970,1222480,38.25361396,-104.6060854
07106000,174048,38.6016647,-104.6702503
07106500,239575,38.2877801,-104.6010849
07109500,1619786,38.24805799,-104.3991356
07119700,2823359,38.12583934,-103.9119006
07120500,2872310,38.06528559,-103.6860593
07124000,3689455,38.0808399,-103.2196523
07126300,495726,37.3564059,-103.9002383
07126485,714322,37.6183474,-103.593557
07130500,4789946,38.06639635,-102.9324228
09010500,16524.2,40.32581784,-105.8566791
09013500,7044.8,40.23637409,-105.7983437
09014050,19787.600000000002,40.2461111,-105.8288333
09019500,83657,40.12081915,-105.9005694
09020500,32893,40.15579444,-105.9805639
09027100,29785,39.9903333,-105.8297778
09034250,204092,40.108319,-106.0041847
09037500,47656,40.0002,-106.1803667
09040500,43512,40.05866389,-106.3051778
09041090,37555,40.2024844,-106.4225335
09041400,69930,40.10859628,-106.4139212
09058000,616161,40.03665248,-106.4400324
09060799,758870,39.8911,-106.8316944
09063000,18181.8,39.50831949,-106.3666948
09064600,48174,39.55387495,-106.402529
09065500,3755.5,39.6258193,-106.2780823
09066325,19968.899999999998,39.6410971,-106.3947515
09066510,26418,39.60943048,-106.447808
09070500,1137010,39.6446111,-107.0780139
09071750,1180004,39.5588711,-107.2908874
09085000,376327,39.54666667,-107.3308333
09085150,1564360,39.56166667,-107.4066667
09095500,2068374,39.2391463,-108.2661946
09105000,153328,39.1836111,-108.2683333
09110000,123284,38.66443715,-106.8453172
09114500,261849,38.54193567,-106.9497661
09119000,274799,38.5211111,-106.9409583
09124500,87801,38.2988834,-107.2300557
09136100,250971,38.78516667,-107.8334167
09144250,1459724,38.75303944,-108.078403
09147500,116032,38.33143056,-107.779225
09149500,288526,38.74194444,-108.0804167
09152500,2052057,38.98331575,-108.4506446
09153270,36778,39.16416667,-108.7502611
09163500,4622891,39.13276047,-109.0270546
09169500,524475,38.3102675,-108.8853805
09171100,556073,38.3569337,-108.8334347
09251000,876197,40.50274666,-108.0334152
09304800,269878,40.0225833,-108.1199444
09306200,131054,39.9210833,-108.2975876
09306222,168868,40.0780264,-108.2364753
09306224,471639,40.1625,-108.345
09306255,67858,40.1685813,-108.4012046
09306290,655270,40.17969335,-108.5653775
09358000,18285.399999999998,37.8111077,-107.6592278
09358550,5205.9000000000005,37.8197187,-107.6636723
09359010,13545.699999999999,37.8027744,-107.6728392
09359020,37814,37.7883333,-107.6682222
09361500,181559,37.2791688,-107.8803445
09363500,282310,37.03656944,-107.8753333
09371010,3781400,37.00113889,-109.0295833
09371492,8935.5,37.3127716,-108.6612067
09371520,60606,37.3266601,-108.7006527
383926107593001,17275.3,38.657207,-107.9922886
385106106571000,19010.600000000002,38.85165929,-106.9533773
391953108130201,131831,39.33119444,-108.2178056
394220106431500,155400,39.705,-106.7258333
401530105475401,7355.5999999999995,40.2575,-105.7997222
01184000,2501940,41.9873186,-72.6053669
01124000,40145,42.0223189,-71.9556289
01125100,26159,41.97846389,-71.90051389
01127500,23128.7,41.5587094,-72.1214666
011277905,4558.4000000000005,41.3686111,-72.2022222
01184490,4014.5,41.9138972,-72.5497
01186500,22015,41.9679222,-73.0334444
01191000,6941.2,41.78443889,-72.7080556
01192500,19010.600000000002,41.7831548,-72.5873114
01193348,150.22,41.63313056,-72.45408889
01193463,21367.5,41.57416944,-72.42947778
01193500,25900,41.55232124,-72.44925287
01195510,4791.5,41.5991111,-72.8857222
01196222,18026.399999999998,41.5292642,-72.8634344
01196500,29785,41.45026389,-72.841275
01196528,32893,41.39795,-72.8682056
01200600,264698,41.5931499,-73.4495669
01201487,16135.699999999999,41.4658222,-73.40320278
01203000,34188,41.54981744,-73.32984029
01205500,399896,41.38380278,-73.16663889
01205890,14581.699999999999,41.76345,-73.1169306
01208350,54131,41.51843,-73.05344119
01208500,67340,41.4423,-73.0622833
01208873,2745.4,41.1798189,-73.21900219
01208990,5439,41.29454,-73.39512029
01478000,5309.5,39.63738889,-75.72788889
01478650,17871,39.6892222,-75.74875
01478950,1525.51,39.70688889,-75.6950833
01479000,23076.899999999998,39.6992222,-75.67502778
01480000,12173,39.76280556,-75.6365
01481500,81326,39.7695,-75.5766944
01483155,448.07,39.4309722,-75.7094722
01483700,8262.1,39.1637222,-75.5190833
01484100,782.18,38.90577778,-75.51275
01484525,15980.300000000001,38.59455556,-75.29102778
01487150,769.23,38.6914722,-75.63488889
01648010,16498.3,38.96016667,-77.0420556
01651770,261.59,38.9161111,-76.9688611
01651800,870.24,38.90127778,-76.94327778
02249500,3263.4,28.07946057,-80.6294983
02250030,27195,28.01724054,-80.59588719
02322700,55167,29.95273288,-82.7859573
02322800,355866,29.91162076,-82.8604033
02231291,73815,30.5507931,-81.5898179
02232400,344729,28.36972837,-80.8725578
02234000,529137,28.7141611,-81.0353374
02234500,668738,28.83804694,-81.3242323
02236000,794094,29.00831827,-81.3825651
02236125,862470,29.16692445,-81.5220157
02244040,1704220,29.5963582,-81.683138
02245260,15669.5,29.72338056,-81.4843667
02246459,5905.2,30.28218375,-81.7403761
02246500,2292150,30.3224616,-81.6653735
02264000,7588.7,28.39056323,-81.5195173
02264051,178.70999999999998,28.37444444,-81.515
02264100,11577.300000000001,28.32528785,-81.5206284
02266200,3211.6,28.38500749,-81.6164632
02266291,5076.4000000000005,28.42694444,-81.6052778
02266300,21911.399999999998,28.33278738,-81.579796
02266495,45066,28.27584517,-81.5439622
02297100,34188,27.16671794,-81.8795282
02297350,461020,27.07755529,-82.00730919
02297460,484330,26.98755887,-81.9942538
02297635,23335.899999999998,26.975,-81.8875
02298124,63196,27.0511111,-81.7861111
02298170,67340,26.99027778,-81.8947222
02298202,96607,26.98478094,-81.9356414
02298492,1566.95,27.4094869,-82.1264772
02299230,92722,27.04519625,-82.2930655
02299496,150220,26.958116359999998,-82.2125921
02299727,16653.7,27.14394246,-82.4300958
023000095,35483,27.51364999,-82.3670375
02301500,86765,27.872248,-82.2112008
02301638,97384,27.85891477,-82.2737021
02301718,107226,27.86934167,-82.3264528
02301719,108521,27.85696987,-82.3575926
02301721,108262,27.85974739,-82.3842598
02304000,163170,28.05446224,-82.3637032
02304510,161875,28.02113015,-82.4345385
02304517,162134,28.0151611,-82.4424056
02304520,164724,28.0197412,-82.451761
023060013,164983,28.0202967,-82.4548166
02306028,179746,27.941966270000002,-82.4587057
02310308,50505,28.2502877,-82.7226006
02310673,30562,28.70263889,-82.6247222
02310674,30821,28.69470935,-82.6389891
02310742,11914,28.8933611,-82.6055556
02313700,124320,29.20413378,-82.769001
02315550,681170,30.3929988,-82.9331875
02317620,435120,30.59826888,-83.073195
02319000,549080,30.59548716,-83.2595906
02319394,603470,30.41049435,-83.18013979
02319800,1862210,30.2449425,-83.24958439
02320000,1885520,30.09994513,-83.1715247
02320500,2040920,29.955785,-82.9276278
02321500,148925,29.9219073,-82.4262246
02321975,222481,29.85273894,-82.6084508
02322500,263403,29.84884769,-82.7151204
02323000,2432010,29.79134359,-82.924293
02323592,2583007,29.33940554,-83.086515
02324170,150738,29.6682821,-83.37735989
02326993,7640.5,30.3152004,-84.3987914
02327033,18233.600000000002,30.18825753,-84.40823469
02358000,4454800,30.7010251,-84.8590871
02359170,4972800,29.94937094,-85.0154686
02203603,626.78,33.68388889,-84.4152778
02203655,5827.5,33.67891667,-84.35813889
02203700,2745.4,33.68902778,-84.3301111
02203831,1100.75,33.70569444,-84.2921944
02203863,2235.17,33.69319444,-84.25388889
02203873,2064.23,33.70941667,-84.2391667
02203900,25641,33.66577778,-84.224
02203950,3418.7999999999997,33.7632222,-84.2203611
02203960,8443.4,33.69666667,-84.1986111
02204037,4169.9000000000005,33.66819444,-84.1511667
02205000,331.52,34.00194444,-84.005
02205865,5439,33.9411111,-84.1077778
02206500,35224,33.85305556,-84.0783333
02207120,41699,33.7722222,-84.0577778
02207135,569.8000000000001,33.83041667,-84.1393333
02207160,7355.5999999999995,33.77327778,-84.0771667
02207185,2615.9,33.7775,-84.0377778
02207385,4480.7,33.81527778,-83.99013889
02207400,2118.62,33.82138889,-83.9425
02208150,7977.2,33.91694444,-83.8880556
02208450,46879,33.63938889,-83.7784167
02208493,7485.0999999999995,33.6285,-83.7988611
02217274,339.29,34.0822222,-83.8544444
02217643,789.9499999999999,34.1620583,-83.5250944
02218565,1463.3500000000001,34.01027778,-83.8941667
02318500,383320,30.79305556,-83.4536111
02334480,2426.83,34.1325,-84.07
02334578,1310.54,34.09638889,-84.0780556
02334885,12198.9,34.0325,-84.08888889
02335000,303030,33.9972222,-84.2019444
02335350,2297.33,33.965,-84.2647222
02335880,367780,33.9019722,-84.4430278
02336000,375550,33.85916667,-84.4544444
02336030,396.27,33.9058333,-84.225
02336120,9013.199999999999,33.83155556,-84.3427778
02336152,1455.58,33.81044444,-84.2479722
023362095,844.3399999999999,33.82138889,-84.2747222
