site_no,dateTime,parm_cd,state
11180770,2021-12-30T22:00:00Z,99133,CA
11312676,2021-12-30T21:45:00Z,99133,CA
11336790,2021-12-30T21:45:00Z,99133,CA
11337190,2021-12-30T20:15:00Z,99133,CA
11447650,2021-12-30T22:00:00Z,99133,CA
11447890,2021-12-30T21:45:00Z,99133,CA
11455095,2021-12-30T21:30:00Z,99133,CA
11455140,2021-12-17T13:45:00Z,99133,CA
11455142,2021-12-30T22:00:00Z,99133,CA
11455143,2017-08-11T18:30:00Z,99133,CA
11455146,2019-01-19T01:15:00Z,99133,CA
11455315,2021-12-30T21:45:00Z,99133,CA
11455350,2017-03-23T19:45:00Z,99133,CA
11455385,2021-12-30T21:45:00Z,99133,CA
11455478,2021-12-30T21:30:00Z,99133,CA
11455485,2021-12-30T21:30:00Z,99133,CA
11455508,2021-12-30T21:45:00Z,99133,CA
364200119420001,2019-06-04T18:00:00Z,99133,CA
364200119420002,2019-06-04T15:00:00Z,99133,CA
364200119420003,2019-06-04T21:00:00Z,99133,CA
373751122143601,2020-06-09T20:00:00Z,99133,CA
380631122032201,2021-12-30T21:00:00Z,99133,CA
381142122015801,2021-11-10T14:15:00Z,99133,CA
381424121405601,2019-09-12T18:00:00Z,99133,CA
382006121401601,2017-08-11T18:30:00Z,99133,CA
382934121350601,2019-08-16T18:30:00Z,99133,CA
383019121350701,2019-09-12T18:00:00Z,99133,CA
383114121350601,2019-08-16T19:30:00Z,99133,CA
401530105475401,2021-10-22T17:40:00Z,99136,CO
01184000,2021-12-30T20:45:00Z,99133,CT
01193050,2021-12-30T21:15:00Z,99133,CT
01194796,2021-12-30T21:45:00Z,99133,CT
384637075153201,2020-08-12T15:00:00Z,99133,DE
01648010,2020-03-17T18:10:00Z,99133,DC
02234600,2021-12-30T21:30:00Z,99133,FL
02234610,2021-12-30T21:45:00Z,99133,FL
02235500,2021-12-30T21:30:00Z,99133,FL
02239501,2021-12-30T21:30:00Z,99133,FL
02248350,2016-09-16T03:45:00Z,99133,FL
02248365,2016-10-01T04:00:00Z,99133,FL
02248600,2016-10-01T04:45:00Z,99133,FL
02249500,2016-09-13T03:45:00Z,99133,FL
02250030,2016-08-10T18:30:00Z,99133,FL
02251767,2016-10-01T04:45:00Z,99133,FL
02253000,2016-10-01T03:45:00Z,99133,FL
02258800,2021-12-30T21:30:00Z,99133,FL
02289035,2021-12-30T21:15:00Z,99133,FL
02292900,2021-12-30T21:15:00Z,99133,FL
02310650,2021-03-03T21:15:00Z,99133,FL
02310678,2021-08-14T22:30:00Z,99133,FL
02310743,2021-10-12T16:30:00Z,99133,FL
02313098,2021-03-03T16:00:00Z,99133,FL
02313100,2021-10-19T13:00:00Z,99133,FL
02319302,2021-12-30T21:45:00Z,99133,FL
02319520,2021-12-30T21:30:00Z,99133,FL
02319950,2021-12-30T21:45:00Z,99133,FL
02320250,2021-12-30T21:00:00Z,99133,FL
02322400,2021-12-30T21:15:00Z,99133,FL
02322688,2021-10-27T15:45:00Z,99133,FL
02322700,2021-12-30T21:45:00Z,99133,FL
02322800,2016-10-01T03:45:00Z,99133,FL
02323502,2021-12-30T21:45:00Z,99133,FL
02323566,2021-12-30T21:30:00Z,99133,FL
02326516,2021-12-30T21:15:00Z,99133,FL
02326526,2021-12-30T21:30:00Z,99133,FL
02327000,2021-12-30T21:15:00Z,99133,FL
02358795,2021-12-30T21:15:00Z,99133,FL
295308085143700,2021-11-24T14:30:00Z,99133,FL
295323085151700,2021-12-30T21:45:00Z,99133,FL
13093692,2021-10-06T03:40:00Z,99133,ID
13095175,2021-12-30T21:30:00Z,99133,ID
03336890,2021-12-30T21:45:00Z,99133,IL
03338780,2021-12-29T21:45:00Z,99133,IL
03339000,2021-12-30T21:45:00Z,99133,IL
03343820,2016-10-15T05:45:00Z,99133,IL
03346500,2021-12-30T21:00:00Z,99133,IL
03381495,2021-12-30T21:00:00Z,99133,IL
03612600,2021-02-22T21:30:00Z,99133,IL
05420400,2021-12-30T21:15:00Z,99133,IL
05446500,2021-12-30T21:00:00Z,99133,IL
05447500,2021-12-30T21:00:00Z,99133,IL
05537980,2021-12-30T21:30:00Z,99133,IL
05543010,2021-12-30T10:45:00Z,99133,IL
05554300,2018-12-20T05:45:00Z,99133,IL
05557500,2013-07-03T05:45:00Z,99133,IL
05575550,2014-12-12T05:45:00Z,99133,IL
05576100,2018-11-29T17:30:00Z,99133,IL
05576195,2018-11-29T18:45:00Z,99133,IL
05579610,2015-07-08T05:55:00Z,99133,IL
05579620,2015-07-15T05:55:00Z,99133,IL
05579624,2015-06-26T05:45:00Z,99133,IL
05579630,2015-07-15T05:45:00Z,99133,IL
05586300,2021-12-30T21:30:00Z,99133,IL
05595000,2021-12-30T21:00:00Z,99133,IL
05599490,2021-12-30T21:00:00Z,99133,IL
401913089534501,2020-08-04T11:30:00Z,99133,IL
411955088280601,2015-10-05T05:45:00Z,99133,IL
03275500,2021-12-30T21:00:00Z,99133,IN
03275990,2017-12-27T16:15:00Z,99133,IN
03276000,2018-03-09T13:15:00Z,99133,IN
03340870,2017-11-07T15:45:00Z,99133,IN
03340900,2018-02-15T16:00:00Z,99133,IN
03353415,2021-12-30T21:15:00Z,99133,IN
03353420,2021-12-30T21:45:00Z,99133,IN
03374100,2021-12-30T21:45:00Z,99133,IN
03378500,2021-12-30T20:45:00Z,99133,IN
04182867,2015-12-10T04:45:00Z,99133,IN
05515500,2021-12-30T21:45:00Z,99133,IN
05517500,2021-12-30T22:00:00Z,99133,IN
05518000,2021-12-30T21:15:00Z,99133,IN
05524500,2021-12-30T21:45:00Z,99133,IN
381704085491802,2021-08-30T13:35:00Z,99133,IN
381704085941800,2020-03-18T17:00:00Z,99133,IN
03353200,2021-12-30T21:45:00Z,99137,IN
05536356,2021-12-30T21:00:00Z,99137,IN
