site_no,dateTime,parm_cd,state
023432415,2022-05-25T18:45:00Z,00095,AL
02397530,2022-05-25T18:00:00Z,00095,AL
02419890,2019-10-18T16:00:00Z,00095,AL
02423130,2022-05-11T16:00:00Z,00095,AL
02423160,2022-05-25T18:15:00Z,00095,AL
02423380,2022-05-25T18:00:00Z,00095,AL
02423397,2022-05-25T18:00:00Z,00095,AL
02423496,2022-05-25T18:00:00Z,00095,AL
0242354650,2022-05-25T18:00:00Z,00095,AL
02423571,2022-05-25T18:00:00Z,00095,AL
02423586,2022-05-25T18:00:00Z,00095,AL
02455980,2022-05-25T18:00:00Z,00095,AL
02457595,2022-05-25T18:00:00Z,00095,AL
02458148,2022-05-25T18:00:00Z,00095,AL
02458450,2022-05-25T18:00:00Z,00095,AL
02458502,2022-05-25T18:00:00Z,00095,AL
02461130,2022-05-25T18:15:00Z,00095,AL
02461192,2022-05-25T18:15:00Z,00095,AL
02461405,2022-05-25T18:00:00Z,00095,AL
15008000,2022-05-25T18:45:00Z,00095,AK
15015595,2022-05-25T18:00:00Z,00095,AK
15024800,2022-05-25T18:15:00Z,00095,AK
15041200,2022-05-25T19:00:00Z,00095,AK
15129120,2022-05-25T18:45:00Z,00095,AK
15209700,2021-09-19T09:45:00Z,00095,AK
15236900,2022-05-25T18:00:00Z,00095,AK
15298040,2017-10-03T18:30:00Z,00095,AK
15304010,2022-05-25T18:45:00Z,00095,AK
09380000,2022-05-25T19:00:00Z,00095,AZ
07047932,2022-05-25T18:45:00Z,00095,AR
07047942,2022-05-25T18:00:00Z,00095,AR
07048495,2022-05-25T18:15:00Z,00095,AR
07048550,2022-05-25T18:30:00Z,00095,AR
07048600,2022-05-25T19:00:00Z,00095,AR
07049000,2022-05-25T18:00:00Z,00095,AR
07055814,2017-04-30T01:30:00Z,00095,AR
07075250,2019-07-22T15:00:00Z,00095,AR
07075270,2022-05-25T18:15:00Z,00095,AR
07077380,2022-05-25T18:45:00Z,00095,AR
07077500,2022-05-25T18:15:00Z,00095,AR
07194880,2022-05-25T18:45:00Z,00095,AR
07194933,2022-05-25T18:45:00Z,00095,AR
07257500,2015-10-23T04:45:00Z,00095,AR
07263296,2022-05-25T18:45:00Z,00095,AR
072632966,2022-05-25T18:15:00Z,00095,AR
07264000,2022-05-25T18:45:00Z,00095,AR
07264200,2022-05-25T18:00:00Z,00095,AR
07264500,2022-05-25T18:45:00Z,00095,AR
07364130,2022-05-25T18:15:00Z,00095,AR
07364133,2020-06-19T15:30:00Z,00095,AR
09429490,2022-05-25T18:00:00Z,00095,CA
10260500,2022-05-25T19:00:00Z,00095,CA
